'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'ChainPrecedence(Take in charge ticket,  Create SW anomaly)';'ChainPrecedence';' Create SW anomaly';'Take in charge ticket';1.000;1.000;1.000
'ChainPrecedence(Take in charge ticket,  Wait)';'ChainPrecedence';' Wait';'Take in charge ticket';1.000;1.000;1.000
'AtMostOne(Assign seriousness)';'AtMostOne';'Assign seriousness';;1.000;1.000;1.000
'Init(Assign seriousness)';'Init';'Assign seriousness';;1.000;1.000;1.000
'AlternateSuccession(Assign seriousness,  Closed)';'AlternateSuccession';'Assign seriousness';' Closed';1.000;1.000;1.000
'AlternateSuccession(Assign seriousness,  Resolve ticket)';'AlternateSuccession';'Assign seriousness';' Resolve ticket';1.000;1.000;1.000
'ChainSuccession(Assign seriousness,  Take in charge ticket)';'ChainSuccession';'Assign seriousness';' Take in charge ticket';1.000;1.000;1.000
'CoExistence(Closed,  Assign seriousness)';'CoExistence';'Closed';' Assign seriousness';1.000;1.000;1.000
'CoExistence(Resolve ticket,  Assign seriousness)';'CoExistence';'Resolve ticket';' Assign seriousness';1.000;1.000;1.000
'AtMostOne(Take in charge ticket)';'AtMostOne';'Take in charge ticket';;1.000;1.000;1.000
'Participation(Take in charge ticket)';'Participation';'Take in charge ticket';;1.000;1.000;1.000
'CoExistence(Take in charge ticket,  Assign seriousness)';'CoExistence';'Take in charge ticket';' Assign seriousness';1.000;1.000;1.000
'NotSuccession(Take in charge ticket,  Assign seriousness)';'NotSuccession';'Take in charge ticket';' Assign seriousness';1.000;1.000;1.000
'AlternateSuccession(Take in charge ticket,  Closed)';'AlternateSuccession';'Take in charge ticket';' Closed';1.000;1.000;1.000
'ChainSuccession(Take in charge ticket,  Resolve ticket)';'ChainSuccession';'Take in charge ticket';' Resolve ticket';1.000;1.000;1.000
