'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AlternatePrecedence(Assign seriousness,  DUPLICATE)';'AlternatePrecedence';' DUPLICATE';'Assign seriousness';1.000;1.000;1.000
'AlternatePrecedence(Take in charge ticket,  DUPLICATE)';'AlternatePrecedence';' DUPLICATE';'Take in charge ticket';1.000;1.000;1.000
'AlternatePrecedence(Assign seriousness,  Require upgrade)';'AlternatePrecedence';' Require upgrade';'Assign seriousness';1.000;1.000;1.000
'ChainPrecedence(Take in charge ticket,  Require upgrade)';'ChainPrecedence';' Require upgrade';'Take in charge ticket';1.000;1.000;1.000
'AlternateResponse(Assign seriousness,  Wait)';'AlternateResponse';'Assign seriousness';' Wait';1.000;1.000;1.000
'NotChainSuccession(Assign seriousness,  Wait)';'NotChainSuccession';'Assign seriousness';' Wait';1.000;1.000;1.000
'RespondedExistence(Closed,  Wait)';'RespondedExistence';'Closed';' Wait';1.000;1.000;1.000
'NotSuccession(Closed,  Wait)';'NotSuccession';'Closed';' Wait';1.000;1.000;1.000
'RespondedExistence(Resolve ticket,  Wait)';'RespondedExistence';'Resolve ticket';' Wait';1.000;1.000;1.000
'NotSuccession(Resolve ticket,  Wait)';'NotSuccession';'Resolve ticket';' Wait';1.000;1.000;1.000
'ChainResponse(Take in charge ticket,  Wait)';'ChainResponse';'Take in charge ticket';' Wait';1.000;1.000;1.000
'AtMostOne(Wait)';'AtMostOne';'Wait';;1.000;1.000;1.000
'RespondedExistence(Wait,  Assign seriousness)';'RespondedExistence';'Wait';' Assign seriousness';1.000;1.000;1.000
'NotSuccession(Wait,  Assign seriousness)';'NotSuccession';'Wait';' Assign seriousness';1.000;1.000;1.000
'AlternateResponse(Wait,  Closed)';'AlternateResponse';'Wait';' Closed';1.000;1.000;1.000
'NotChainSuccession(Wait,  Closed)';'NotChainSuccession';'Wait';' Closed';1.000;1.000;1.000
'AlternateResponse(Wait,  Resolve ticket)';'AlternateResponse';'Wait';' Resolve ticket';1.000;1.000;1.000
'RespondedExistence(Wait,  Take in charge ticket)';'RespondedExistence';'Wait';' Take in charge ticket';1.000;1.000;1.000
'NotSuccession(Wait,  Take in charge ticket)';'NotSuccession';'Wait';' Take in charge ticket';1.000;1.000;1.000
