'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AlternateResponse(Assign seriousness,  Require upgrade)';'AlternateResponse';'Assign seriousness';' Require upgrade';1.000;1.000;1.000
'NotChainSuccession(Assign seriousness,  Require upgrade)';'NotChainSuccession';'Assign seriousness';' Require upgrade';1.000;1.000;1.000
'NotSuccession(Closed,  Require upgrade)';'NotSuccession';'Closed';' Require upgrade';1.000;1.000;1.000
'AtMostOne(Require upgrade)';'AtMostOne';'Require upgrade';;1.000;1.000;1.000
'RespondedExistence(Require upgrade,  Assign seriousness)';'RespondedExistence';'Require upgrade';' Assign seriousness';1.000;1.000;1.000
'NotSuccession(Require upgrade,  Assign seriousness)';'NotSuccession';'Require upgrade';' Assign seriousness';1.000;1.000;1.000
'NotChainSuccession(Require upgrade,  Closed)';'NotChainSuccession';'Require upgrade';' Closed';1.000;1.000;1.000
'Response(Require upgrade,  Resolve ticket)';'Response';'Require upgrade';' Resolve ticket';1.000;1.000;1.000
'RespondedExistence(Require upgrade,  Take in charge ticket)';'RespondedExistence';'Require upgrade';' Take in charge ticket';1.000;1.000;1.000
'NotSuccession(Require upgrade,  Take in charge ticket)';'NotSuccession';'Require upgrade';' Take in charge ticket';1.000;1.000;1.000
'NotCoExistence(Require upgrade,  Wait)';'NotCoExistence';'Require upgrade';' Wait';1.000;1.000;1.000
'RespondedExistence(Resolve ticket,  Require upgrade)';'RespondedExistence';'Resolve ticket';' Require upgrade';1.000;1.000;1.000
'NotSuccession(Resolve ticket,  Require upgrade)';'NotSuccession';'Resolve ticket';' Require upgrade';1.000;1.000;1.000
'Response(Take in charge ticket,  Require upgrade)';'Response';'Take in charge ticket';' Require upgrade';1.000;1.000;1.000
'NotCoExistence(Wait,  Require upgrade)';'NotCoExistence';'Wait';' Require upgrade';1.000;1.000;1.000
