'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AtMostOne(Assign seriousness)';'AtMostOne';'Assign seriousness';;1.000;1.000;1.000
'Init(Assign seriousness)';'Init';'Assign seriousness';;1.000;1.000;1.000
'AlternateSuccession(Assign seriousness,  Closed)';'AlternateSuccession';'Assign seriousness';' Closed';1.000;1.000;1.000
'NotChainSuccession(Assign seriousness,  Closed)';'NotChainSuccession';'Assign seriousness';' Closed';1.000;1.000;1.000
'AlternateSuccession(Assign seriousness,  Resolve ticket)';'AlternateSuccession';'Assign seriousness';' Resolve ticket';1.000;1.000;1.000
'End(Closed)';'End';'Closed';;1.000;1.000;1.000
'CoExistence(Closed,  Assign seriousness)';'CoExistence';'Closed';' Assign seriousness';1.000;1.000;1.000
'NotSuccession(Closed,  Assign seriousness)';'NotSuccession';'Closed';' Assign seriousness';1.000;1.000;1.000
'AtMostOne(Resolve ticket)';'AtMostOne';'Resolve ticket';;1.000;1.000;1.000
'CoExistence(Resolve ticket,  Assign seriousness)';'CoExistence';'Resolve ticket';' Assign seriousness';1.000;1.000;1.000
'NotSuccession(Resolve ticket,  Assign seriousness)';'NotSuccession';'Resolve ticket';' Assign seriousness';1.000;1.000;1.000
'ChainSuccession(Resolve ticket,  Closed)';'ChainSuccession';'Resolve ticket';' Closed';1.000;1.000;1.000
