'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'Response(Assign seriousness,  Wait)';'Response';'Assign seriousness';' Wait';1.000;1.000;1.000
'NotChainSuccession(Assign seriousness,  Wait)';'NotChainSuccession';'Assign seriousness';' Wait';1.000;1.000;1.000
'RespondedExistence(Closed,  Wait)';'RespondedExistence';'Closed';' Wait';1.000;1.000;1.000
'NotSuccession(Closed,  Wait)';'NotSuccession';'Closed';' Wait';1.000;1.000;1.000
'RespondedExistence(Resolve ticket,  Wait)';'RespondedExistence';'Resolve ticket';' Wait';1.000;1.000;1.000
'NotSuccession(Resolve ticket,  Wait)';'NotSuccession';'Resolve ticket';' Wait';1.000;1.000;1.000
'RespondedExistence(Wait,  Assign seriousness)';'RespondedExistence';'Wait';' Assign seriousness';1.000;1.000;1.000
'NotSuccession(Wait,  Assign seriousness)';'NotSuccession';'Wait';' Assign seriousness';1.000;1.000;1.000
'Response(Wait,  Closed)';'Response';'Wait';' Closed';1.000;1.000;1.000
'NotChainSuccession(Wait,  Closed)';'NotChainSuccession';'Wait';' Closed';1.000;1.000;1.000
'Response(Wait,  Resolve ticket)';'Response';'Wait';' Resolve ticket';1.000;1.000;1.000
'RespondedExistence(Wait,  Take in charge ticket)';'RespondedExistence';'Wait';' Take in charge ticket';1.000;1.000;1.000
