'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'AlternatePrecedence(Resolve ticket,  Create SW anomaly)';'AlternatePrecedence';' Create SW anomaly';'Resolve ticket';1.000;1.000;1.000
'AlternatePrecedence(Wait,  INVALID)';'AlternatePrecedence';' INVALID';'Wait';1.000;1.000;1.000
'AlternatePrecedence(Wait,  RESOLVED)';'AlternatePrecedence';' RESOLVED';'Wait';1.000;1.000;1.000
'AlternatePrecedence(Wait,  VERIFIED)';'AlternatePrecedence';' VERIFIED';'Wait';1.000;1.000;1.000
'ChainPrecedence(Assign seriousness,  Wait)';'ChainPrecedence';' Wait';'Assign seriousness';1.000;1.000;1.000
'AlternatePrecedence(Resolve ticket,  Wait)';'AlternatePrecedence';' Wait';'Resolve ticket';1.000;1.000;1.000
'RespondedExistence(Assign seriousness,  Insert ticket)';'RespondedExistence';'Assign seriousness';' Insert ticket';1.000;1.000;1.000
'NotCoExistence(Assign seriousness,  Insert ticket)';'NotCoExistence';'Assign seriousness';' Insert ticket';1.000;1.000;1.000
'RespondedExistence(Closed,  Insert ticket)';'RespondedExistence';'Closed';' Insert ticket';1.000;1.000;1.000
'NotCoExistence(Closed,  Insert ticket)';'NotCoExistence';'Closed';' Insert ticket';1.000;1.000;1.000
'AtMostOne(Insert ticket)';'AtMostOne';'Insert ticket';;1.000;1.000;1.000
'ChainResponse(Insert ticket,  Assign seriousness)';'ChainResponse';'Insert ticket';' Assign seriousness';1.000;1.000;1.000
'NotCoExistence(Insert ticket,  Assign seriousness)';'NotCoExistence';'Insert ticket';' Assign seriousness';1.000;1.000;1.000
'AlternateResponse(Insert ticket,  Closed)';'AlternateResponse';'Insert ticket';' Closed';1.000;1.000;1.000
'AlternateResponse(Insert ticket,  Resolve ticket)';'AlternateResponse';'Insert ticket';' Resolve ticket';1.000;1.000;1.000
'AlternateResponse(Insert ticket,  Take in charge ticket)';'AlternateResponse';'Insert ticket';' Take in charge ticket';1.000;1.000;1.000
'NotCoExistence(Resolve ticket,  Insert ticket)';'NotCoExistence';'Resolve ticket';' Insert ticket';1.000;1.000;1.000
'ChainSuccession(Resolve ticket,  Take in charge ticket)';'ChainSuccession';'Resolve ticket';' Take in charge ticket';1.000;1.000;1.000
'RespondedExistence(Take in charge ticket,  Insert ticket)';'RespondedExistence';'Take in charge ticket';' Insert ticket';1.000;1.000;1.000
'NotCoExistence(Take in charge ticket,  Insert ticket)';'NotCoExistence';'Take in charge ticket';' Insert ticket';1.000;1.000;1.000
'NotCoExistence(Wait,  Insert ticket)';'NotCoExistence';'Wait';' Insert ticket';1.000;1.000;1.000
'ChainSuccession(Wait,  Take in charge ticket)';'ChainSuccession';'Wait';' Take in charge ticket';1.000;1.000;1.000
